Relay URL,Latitude,Longitude
vitor.nostr1.com,40.7357,-74.1724
nostr.oxtr.dev,50.4754,12.3683
strfry.shock.network,41.8959,-88.2169
itanostr.space,52.2931,4.79099
relay.vrtmrz.net,43.6532,-79.3832
nostr.community.ath.cx,45.5029,-73.5723
nostr.0x7e.xyz,47.4988,8.72369
relay.degmods.com,50.4754,12.3683
nostr.spaceshell.xyz,43.6532,-79.3832
social.proxymana.net,60.1699,24.9384
relay.lnfi.network,39.0438,-77.4874
relay.freeplace.nl,52.3676,4.90414
nostr-dev.wellorder.net,45.5201,-122.99
relay.nsnip.io,60.1699,24.9384
relay.siamdev.cc,13.9178,100.424
relay.13room.space,43.6532,-79.3832
nostr-01.yakihonne.com,1.32123,103.695
nostr-relay.online,43.6532,-79.3832
vidono.apps.slidestr.net,48.8566,2.35222
nostr.vulpem.com,49.4543,11.0746
relay.notoshi.win,13.7683,100.54
relay.mostro.network,40.8302,-74.1299
relay.usefusion.ai,38.7134,-78.1591
shu04.shugur.net,25.2604,55.2989
fenrir-s.notoshi.win,43.6532,-79.3832
relay.nostr.net,50.4754,12.3683
nostr.jerrynya.fun,31.2304,121.474
nostr.data.haus,50.4754,12.3683
relay.nosto.re,51.8933,4.42083
nostr.rohoss.com,50.1109,8.68213
nostr.agentcampfire.com,50.8933,6.05805
temp.iris.to,43.6532,-79.3832
relay.cosmicbolt.net,37.3986,-121.964
soloco.nl,43.6532,-79.3832
relay03.lnfi.network,39.0997,-94.5786
offchain.pub,36.1809,-115.241
relay.holzeis.me,43.6532,-79.3832
orangepiller.org,60.1699,24.9384
nos.lol,50.4754,12.3683
orangesync.tech,51.5072,-0.127586
nostr.snowbla.de,60.1699,24.9384
nostr-03.dorafactory.org,1.35208,103.82
relay.letsfo.com,51.098,17.0321
relay.mwaters.net,50.9871,2.12554
nostr.notribe.net,40.8302,-74.1299
nostr.noones.com,50.1109,8.68213
noxir.kpherox.dev,34.8587,135.509
relay.goodmorningbitcoin.com,43.6532,-79.3832
relay.digitalezukunft.cyou,45.5019,-73.5674
relay.stream.labs.h3.se,59.4016,17.9455
relay2.angor.io,48.1046,11.6002
relay.mattybs.lol,43.6532,-79.3832
premium.primal.net,43.6532,-79.3832
nostr.plantroon.com,50.1013,8.62643
relay.tagayasu.xyz,43.6715,-79.38
relay.ngengine.org,53.3498,-6.26031
relay.electriclifestyle.com,26.2897,-80.1293
relay.bitcoinveneto.org,64.1466,-21.9426
relay.nostriot.com,41.5695,-83.9786
relay.nostrhub.tech,49.4543,11.0746
relay-admin.thaliyal.com,40.8218,-74.45
relay.wavlake.com,41.2619,-95.8608
nostrelay.circum.space,51.2217,6.77616
nostr-2.21crypto.ch,47.1928,8.81494
relay.puresignal.news,43.6532,-79.3832
nostr.lojong.info,43.6532,-79.3832
nostr.thaliyal.com,40.8218,-74.45
nostream.breadslice.com,43.6532,-79.3832
nostr-rs-relay.dev.fedibtc.com,39.0438,-77.4874
nostr.kalf.org,52.3676,4.90414
shu05.shugur.net,48.8566,2.35222
x.kojira.io,43.6532,-79.3832
relay.nostx.io,43.6532,-79.3832
nostr.l484.com,30.2944,-97.6223
solo.itsalldance.space,32.71,-96.6745
relay5.bitransfer.org,43.6532,-79.3832
nostr.21crypto.ch,47.1928,8.81494
relay.bullishbounty.com,43.6532,-79.3832
wot.sebastix.social,51.8933,4.42083
nostr.blankfors.se,60.1699,24.9384
santo.iguanatech.net,40.8302,-74.1299
nostr.carroarmato0.be,50.9017,3.52588
relay.agorist.space,52.3734,4.89406
nostr.einundzwanzig.space,50.1109,8.68213
wot.soundhsa.com,34.0479,-118.256
relay.nostraddress.com,43.6532,-79.3832
nostr.massmux.com,51.5072,-0.127586
relay02.lnfi.network,39.0997,-94.5786
srtrelay.c-stellar.net,43.6532,-79.3832
nostr.kungfu-g.rip,33.7946,-84.4488
nostr.rtvslawenia.com,49.4543,11.0746
relay.primal.net,43.6532,-79.3832
relay.nostrdice.com,-33.8688,151.209
yabu.me,35.6092,139.73
relay.mockingyou.com,37.5485,-121.989
nostr.hifish.org,47.3769,8.54169
relay.hodl.ar,-34.5904,-58.629
no.str.cr,9.93388,-84.0849
ribo.eu.nostria.app,52.3676,4.90414
nostr.myshosholoza.co.za,52.3676,4.90414
a.nos.lol,50.4754,12.3683
t.mememap.net,42.3601,-71.0589
nostr-rs-relay-ishosta.phamthanh.me,43.6532,-79.3832
wot.brightbolt.net,47.6735,-116.781
r.bitcoinhold.net,43.6532,-79.3832
relay.wellorder.net,45.5201,-122.99
relay.mccormick.cx,52.3563,4.95714
pyramid.fiatjaf.com,50.1109,8.68213
relay-dev.satlantis.io,40.8302,-74.1299
shu02.shugur.net,21.4902,39.2246
cyberspace.nostr1.com,40.7357,-74.1724
khatru.nostrver.se,51.8933,4.42083
nostr.night7.space,50.4754,12.3683
relay.satlantis.io,32.8769,-80.0114
nostr.rikmeijer.nl,50.4754,12.3683
fanfares.nostr1.com,40.7057,-74.0136
nostr-verified.wellorder.net,45.5201,-122.99
dev-nostr.bityacht.io,25.0797,121.234
relay.magiccity.live,25.8128,-80.2377
nostr.tadryanom.me,43.6532,-79.3832
portal-relay.pareto.space,49.4543,11.0746
relay.chakany.systems,43.6532,-79.3832
relay.nostar.org,43.6532,-79.3832
nostr.2b9t.xyz,34.0549,-118.243
relay.jeffg.fyi,43.6532,-79.3832
relay.javi.space,43.4633,11.8796
relay.toastr.net,40.8054,-74.0241
relay.dwadziesciajeden.pl,52.2297,21.0122
inbox.azzamo.net,52.2633,21.0283
freelay.sovbit.host,64.1476,-21.9392
nostrelay.memory-art.xyz,43.6532,-79.3832
strfry.felixzieger.de,50.1013,8.62643
relay.lumina.rocks,49.0291,8.35695
relay.mememaps.net,42.3601,-71.0589
relay.conduit.market,43.6532,-79.3832
relay.wolfcoil.com,35.6092,139.73
relay04.lnfi.network,39.0997,-94.5786
relay.evanverma.com,40.8302,-74.1299
wot.dergigi.com,64.1476,-21.9392
black.nostrcity.club,41.8781,-87.6298
nostr.liberty.fans,36.9104,-89.5875
nostr-02.yakihonne.com,1.32123,103.695
nostr.overmind.lol,43.6532,-79.3832
relay.2nix.de,60.1699,24.9384
relay.hasenpfeffr.com,39.0438,-77.4874
relay.nostrhub.fr,48.1046,11.6002
nostr.huszonegy.world,47.4979,19.0402
relay-rpi.edufeed.org,49.4543,11.0746
adre.su,59.9311,30.3609
relay.sincensura.org,43.6532,-79.3832
nostr-02.dorafactory.org,1.35208,103.82
gnostr.com,40.9017,29.1616
nostr.zenon.network,43.5009,-70.4428
nostr-pub.wellorder.net,45.5201,-122.99
wot.sudocarlos.com,51.5072,-0.127586
relay.credenso.cafe,43.1149,-80.7228
relay.mess.ch,47.3591,8.55292
nostr.red5d.dev,43.6532,-79.3832
relay.utxo.farm,35.6916,139.768
relay.moinsen.com,50.4754,12.3683
relay.fr13nd5.com,52.5233,13.3426
relay.artiostr.ch,43.6532,-79.3832
relay.aloftus.io,34.0881,-118.379
relay01.lnfi.network,39.0997,-94.5786
nostr.coincrowd.fund,39.0438,-77.4874
nostr.sagaciousd.com,49.2827,-123.121
purpura.cloud,43.6532,-79.3832
wot.dtonon.com,43.6532,-79.3832
nostr.rblb.it,43.6532,-79.3832
nostr-relay.cbrx.io,43.6532,-79.3832
librerelay.aaroniumii.com,43.6532,-79.3832
nostr.n7ekb.net,47.4941,-122.294
nostr.camalolo.com,24.1469,120.684
relay.tapestry.ninja,40.8054,-74.0241
relay.etch.social,41.2619,-95.8608
n.ok0.org,-37.7254,176.133
nostr.middling.mydns.jp,35.8099,140.12
nostrelites.org,41.8781,-87.6298
theoutpost.life,64.1476,-21.9392
nostr.yael.at,52.3563,4.95714
nostr.stakey.net,52.3676,4.90414
nostr.now,36.55,139.733
kitchen.zap.cooking,43.6532,-79.3832
wot.nostr.place,30.2672,-97.7431
nostr.sathoarder.com,48.5734,7.75211
alien.macneilmediagroup.com,43.6532,-79.3832
relay.nostr.vet,52.6467,4.7395
relay.getsafebox.app,43.6532,-79.3832
nostr.tac.lol,47.4748,-122.273
relay-testnet.k8s.layer3.news,37.3387,-121.885
relay.bitcoindistrict.org,43.6532,-79.3832
nostr.jfischer.org,49.0291,8.35696
nostr.spacecitynode.com,29.7057,-95.2706
relay.copylaradio.com,50.8198,-1.08798
relay.21e6.cz,50.1682,14.0546
relay.nostr.place,32.7767,-96.797
relay.bitcoinartclock.com,50.4754,12.3683
strfry.openhoofd.nl,51.9229,4.40833
nos.xmark.cc,50.6924,3.20113
relay.zone667.com,60.1699,24.9384
nostr-02.czas.top,51.2277,6.77346
relay.arx-ccn.com,50.4754,12.3683
nostr.pleb.one,38.6327,-90.1961
nostr.smut.cloud,43.6532,-79.3832
relay.nostr.band,60.1699,24.9384
nostr.roundrockbitcoiners.com,40.8054,-74.0241
articles.layer3.news,37.3387,-121.885
relay.davidebtc.me,51.5072,-0.127586
relay.sigit.io,50.4754,12.3683
nproxy.kristapsk.lv,60.1699,24.9384
nostr.diakod.com,43.6532,-79.3832
nostr.spicyz.io,43.6532,-79.3832
relay.angor.io,48.1046,11.6002
nostr.coincards.com,45.4002,-75.8064
nostr.mikoshi.de,50.1109,8.68213
prl.plus,55.7623,37.6381
relay.snort.social,53.3498,-6.26031
relay.satsdays.com,1.35208,103.82
relay.origin.land,35.6673,139.751
relay.illuminodes.com,47.6061,-122.333
relay.damus.io,43.6532,-79.3832
schnorr.me,43.6532,-79.3832
zap.watch,45.5029,-73.5723
dev-relay.lnfi.network,39.0997,-94.5786
relay.olas.app,50.4754,12.3683
relayone.soundhsa.com,34.0479,-118.256
inbox.mycelium.social,38.627,-90.1994
ithurtswhenip.ee,51.0238,-1.33713
nostr.hekster.org,37.3986,-121.964
wheat.happytavern.co,43.6532,-79.3832
travis-shears-nostr-relay-v2.fly.dev,41.8781,-87.6298
nostr.4rs.nl,49.0291,8.35696
purplerelay.com,50.1109,8.68213
relay.coinos.io,43.6532,-79.3832
strfry.bonsai.com,37.8715,-122.273
relay.endfiat.money,43.6532,-79.3832
relay.cypherflow.ai,48.8566,2.35222
nostr.mom,50.4754,12.3683
satsage.xyz,37.3986,-121.964
nostr-relay.psfoundation.info,39.0438,-77.4874
relay.barine.co,43.6532,-79.3832
internationalright-wing.org,-22.5986,-48.8003
relay.nostromo.social,49.4543,11.0746
nostr-relay.amethyst.name,35.7327,-78.8503
relay.artx.market,43.652,-79.3633
relay.orangepill.ovh,49.1689,-0.358841
wot.codingarena.top,50.4754,12.3683
slick.mjex.me,39.048,-77.4817
tollbooth.stens.dev,51.223,6.78245
wot.nostr.party,36.1627,-86.7816
nostr.makibisskey.work,43.6532,-79.3832
relay.chorus.community,50.1109,8.68213
nostr.azzamo.net,52.2633,21.0283
nostr.satstralia.com,64.1476,-21.9392
relay.laantungir.net,-19.4692,-42.5315
relay.varke.eu,52.6921,6.19372
wot.nostr.net,43.6532,-79.3832
nostr-relay.zimage.com,34.282,-118.439
nostr.thebiglake.org,32.71,-96.6745
nostr.88mph.life,43.6532,-79.3832
relay.ru.ac.th,13.7584,100.622
relay.0xchat.com,1.35208,103.82
relay.exit.pub,50.4754,12.3683
nostr.dlsouza.lol,50.1109,8.68213
nostr-relay-1.trustlessenterprise.com,43.6532,-79.3832
relayrs.notoshi.win,43.6532,-79.3832
nostr.chaima.info,50.1109,8.68213
relay.jmoose.rocks,60.1699,24.9384
nostr-relay.shirogaku.xyz,43.6532,-79.3832
