Relay URL,Latitude,Longitude
relay.apps.prod.aws.ocp.signet.ing,45.5152,-122.678
social.amanah.eblessing.co,48.1046,11.6002
relay.visionfusen.org,43.6532,-79.3832
testrelay.era21.space,43.6532,-79.3832
santo.iguanatech.net,40.8302,-74.1299
relay.sharegap.net,43.6532,-79.3832
nostr-relay.online,43.6532,-79.3832
nostr.wom.wtf,43.6532,-79.3832
relay.credenso.cafe,43.3601,-80.3127
nostr-03.dorafactory.org,1.35208,103.82
nostrelites.org,41.8781,-87.6298
nostr-01.yakihonne.com,1.29524,103.79
relay.nostr-check.me,43.6532,-79.3832
nostrue.com,40.8054,-74.0241
khatru.nostrver.se,51.1792,5.89444
relay.0xchat.com,1.35208,103.82
relay.nosto.re,51.1792,5.89444
purplerelay.com,43.6532,-79.3832
ribo.us.nostria.app,41.5868,-93.625
relay.nuts.cash,39.7392,-104.99
nostr-relay.aruku.kro.kr,37.3589,127.115
freelay.sovbit.host,64.1476,-21.9392
nostr.overmind.lol,43.6532,-79.3832
vault.iris.to,43.6532,-79.3832
articles.layer3.news,37.3387,-121.885
nostr-relay.nextblockvending.com,47.2343,-119.853
relay-nl.zombi.cloudrodion.com,50.8943,6.06237
nostr-relay.xbytez.io,50.6924,3.20113
nostr.hekster.org,37.3986,-121.964
relay.mostr.pub,43.6532,-79.3832
nostr.stakey.net,52.3676,4.90414
inbox.azzamo.net,45.3147,-73.8785
nostr-relay.cbrx.io,43.6532,-79.3832
bucket.coracle.social,37.7775,-122.397
nostr.21crypto.ch,47.5356,8.73209
nostr.sathoarder.com,48.5734,7.75211
nostr.mom,50.4754,12.3683
relay.puresignal.news,43.6532,-79.3832
relay.nostrverse.net,43.6532,-79.3832
relayrs.notoshi.win,43.6532,-79.3832
relay.goodmorningbitcoin.com,43.6532,-79.3832
myvoiceourstory.org,37.3598,-121.981
okn.czas.plus,50.1109,8.68213
relay.minibolt.info,43.6532,-79.3832
relay.lanavault.space,60.1699,24.9384
kitchen.zap.cooking,43.6532,-79.3832
relay.jabato.space,52.6907,4.8181
relay.btcforplebs.com,43.6532,-79.3832
nostr-02.czas.top,51.2277,6.77346
nrs-01.darkcloudarcade.com,39.1008,-94.5811
relay.mostro.network,40.8302,-74.1299
nostr-relay.zeabur.app,25.0797,121.234
relay.satnam.pub,43.6532,-79.3832
relay.wavefunc.live,39.7392,-104.99
theoutpost.life,64.1476,-21.9392
nostr.self-determined.de,53.5,10.25
strfry.elswa-dev.online,50.1109,8.68213
relay.endfiat.money,43.6532,-79.3832
discovery.us.nostria.app,52.3676,4.90414
nostrcheck.me,43.6532,-79.3832
relay.bnos.space,43.6532,-79.3832
garden.zap.cooking,40.9481,-79.7428
nostr.zoracle.org,45.6018,-121.185
nostr.2b9t.xyz,34.0549,-118.243
relay.pinseekr.golf,43.6532,-79.3832
relay.malxte.de,52.52,13.405
nostr.n7ekb.net,36.1527,-95.9902
relay.ru.ac.th,13.7607,100.627
nostr.snowbla.de,60.1699,24.9384
ephemeral.snowflare.cc,43.6532,-79.3832
nostr.na.social,43.6532,-79.3832
relay.snort.social,53.3498,-6.26031
relay-rpi.edufeed.org,49.4521,11.0767
relay.gobrrr.me,48.2352,16.4811
relay.bitcoindistrict.org,43.6532,-79.3832
relay.nostr.place,32.7767,-96.797
relay.laantungir.net,-19.4692,-42.5315
relay.magiccity.live,25.7975,-80.23
nostr2.girino.org,43.6532,-79.3832
relay.cypherflow.ai,48.8575,2.35138
relay.lightning.pub,39.0438,-77.4874
nos.lol,50.4754,12.3683
relay.toastr.net,40.8054,-74.0241
nostr.azzamo.net,52.2633,21.0283
relay.fountain.fm,43.6532,-79.3832
nostr.parallel.hetu.org:8443,1.35208,103.82
nostrelay.circum.space,52.3676,4.90414
strfry.bonsai.com,37.8716,-122.273
nostr.huszonegy.world,47.4979,19.0402
nostr.spaceshell.xyz,43.6532,-79.3832
slick.mjex.me,39.0418,-77.4744
relay.anmore.me,49.281,-123.117
nostr.mifen.me,43.6532,-79.3832
nos4smartnkind.tech,40.1872,44.5152
nostr.hifish.org,47.4244,8.57658
discovery.eu.nostria.app,52.3676,4.90414
relay5.bitransfer.org,43.6532,-79.3832
relay.klabo.world,47.674,-122.122
nostr.quali.chat,60.1699,24.9384
orangepiller.org,60.1699,24.9384
czas.xyz,60.1699,24.9384
testnet-relay.samt.st,40.8302,-74.1299
relay.bitmacro.cloud,43.6532,-79.3832
nostr.rblb.it,43.7094,10.6582
nostr.mikoshi.de,47.9351,12.0152
nostr.blankfors.se,60.1699,24.9384
nostr.okienko.live,50.1109,8.68213
plebchain.club,43.6532,-79.3832
relay-fra.zombi.cloudrodion.com,48.8566,2.35222
temp.iris.to,43.6532,-79.3832
relay.nostrcheck.me,43.6532,-79.3832
prl.plus,42.6978,23.3246
srtrelay.c-stellar.net,43.6532,-79.3832
nostr.jerrynya.fun,31.2304,121.474
relay.npubhaus.com,43.6532,-79.3832
nostrcity-club.fly.dev,48.8575,2.35138
nostr.faultables.net,43.6532,-79.3832
relay.layer.systems,49.0291,8.35695
nostr.notribe.net,40.8302,-74.1299
nostr.robosats.org,64.1476,-21.9392
lightning.red,53.3498,-6.26031
relay.nostriot.com,41.5695,-83.9786
nostr.data.haus,50.4754,12.3683
relay.keykeeper.world,40.7824,-74.0711
nostr-relay.amethyst.name,39.0067,-77.4291
relay.fundstr.me,42.3601,-71.0589
relay.spacetomatoes.net,42.3601,-71.0589
premium.primal.net,43.6532,-79.3832
nostr.liberty.fans,36.9104,-89.5875
relay.seq1.net,43.6532,-79.3832
relay.orly.dev,32.7767,-96.797
ms.chinacounty.com,39.9042,116.407
relay.nostu.be,40.4167,-3.70329
nostr.nadajnik.org,50.1109,8.68213
nostr.tac.lol,47.4748,-122.273
portal-relay.pareto.space,49.0291,8.35696
relay.primal.net,43.6532,-79.3832
nostr.islandarea.net,35.4669,-97.6473
relay.samt.st,40.8302,-74.1299
nostr.girino.org,43.6532,-79.3832
relay.bao.network,49.4543,11.0746
nostr.4rs.nl,49.0291,8.35696
bcast.girino.org,43.6532,-79.3832
relay.illuminodes.com,47.6062,-122.332
orly-relay.imwald.eu,48.8575,2.35138
nostr.plantroon.com,50.1013,8.62643
relay.binaryrobot.com,43.6532,-79.3832
nostr-kyomu-haskell.onrender.com,37.7775,-122.397
pyramid.aaro.cc,34.0549,-118.243
relay.staging.commonshub.brussels,49.4543,11.0746
relay.wayback.st,52.3676,4.90414
nostr.bitczat.pl,60.1699,24.9384
treuzkas.branruz.com,48.8575,2.35138
relay.artx.market,43.6548,-79.3885
relay.bitmacro.pro,43.6532,-79.3832
strfry.ymir.cloud,34.0965,-117.585
relay.zone667.com,60.1699,24.9384
bcast.seutoba.com.br,43.6532,-79.3832
public.crostr.com,43.6532,-79.3832
nostr.klabo.world,38.3396,-122.701
relay.libernet.app,43.6532,-79.3832
relay.sigit.io,50.4754,12.3683
nostr.0cx.de,49.029,8.35695
wot.nostr.party,36.1627,-86.7816
relay.cosmicbolt.net,37.3986,-121.964
chat-relay.zap-work.com,43.6532,-79.3832
bitcoiner.social,47.6743,-117.112
relay.ngengine.org,43.6532,-79.3832
api.freefrom.space/v1/ws,43.6532,-79.3832
pyramid.self-determined.de,53.5,10.25
relay.purplefrog.cloud,35.6916,139.768
relay.nostrops.com,33.7584,-84.6375
r.0kb.io,32.789,-96.7989
relay.agorist.space,52.3734,4.89406
relay.damus.io,43.6532,-79.3832
nostr.myshosholoza.co.za,52.3913,4.66545
nostr.vulpem.com,49.4543,11.0746
nostr.tuckerbradford.com,43.6591,-70.2568
strfry.openhoofd.nl,51.9229,4.40833
relay.guggero.org,46.0037,8.95105
nostr.bitcoiner.social,47.6743,-117.112
r.alphaama.com,60.1699,24.9384
relay.cyphernomad.com,60.4032,25.0321
relay.upleb.uk,51.9194,19.1451
nostr.chaima.info,50.1109,8.68213
nostr.calitabby.net,47.6743,-117.112
relay.nostr.wirednet.jp,34.706,135.493
relay.mitchelltribe.com,39.0438,-77.4874
relay-testnet.k8s.layer3.news,37.3387,-121.885
nostr.noones.com,50.1109,8.68213
relay.lanacoin-eternity.com,40.8302,-74.1299
wot.sudocarlos.com,43.6532,-79.3832
relay.nostrzh.org,43.6532,-79.3832
nostr-rs-relay-ishosta.phamthanh.me,43.6532,-79.3832
relay.og.coop,43.6532,-79.3832
zg0vtbriqdog7.clorecloud.net,43.6532,-79.3832
relay.cathouse-propeller.com,52.3676,4.90414
yabu.me,35.6092,139.73
nostr.ovia.to,43.6532,-79.3832
relay.bithome.site,52.3563,4.95714
relay-freeharmonypeople.space,38.7223,-9.13934
nostr-relay.corb.net,38.8353,-104.822
relay.homeinhk.xyz,45.5152,-122.678
nostr-rs-relay.dev.fedibtc.com,39.0438,-77.4874
nostr.bond,50.1109,8.68213
nostr.spicyz.io,43.6532,-79.3832
relay.jeffg.fyi,43.6532,-79.3832
relay.orangepill.ovh,49.1689,-0.358841
relay.contextvm.org,53.3498,-6.26031
antiprimal.net,43.6532,-79.3832
relay.getsafebox.app,43.6532,-79.3832
relay.siamdev.cc,13.8434,100.363
wot.dtonon.com,43.6532,-79.3832
ribo.eu.nostria.app,52.3676,4.90414
relay.vrtmrz.net,43.6532,-79.3832
nostr.red5d.dev,43.6532,-79.3832
relay.routstr.com,43.6532,-79.3832
wot.shaving.kiwi,43.6532,-79.3832
relay2.angor.io,48.1046,11.6002
nostr.oxtr.dev,50.4754,12.3683
nostr.rblb.it:7777,43.7094,10.6582
strfry.shock.network,39.0438,-77.4874
fenrir-s.notoshi.win,43.6532,-79.3832
testorly.nosfabrica.com,37.3986,-121.964
satsage.xyz,37.3986,-121.964
relay-dev.satlantis.io,40.8302,-74.1299
soloco.nl,43.6532,-79.3832
relay.snotr.nl:49999,52.0195,4.42946
relay.agora.social,50.7383,15.0648
nostr.rtvslawenia.com,49.4543,11.0746
adre.su,59.9311,30.3609
relay.nostrhub.fr,48.1045,11.6004
relay.wavlake.com,41.2619,-95.8608
relay.decentnewsroom.com,50.4754,12.3683
offchain.pub,39.1585,-94.5728
relay.mccormick.cx,52.3563,4.95714
relay.bitmacro.io,48.8566,2.35222
relayone.soundhsa.com,33.1384,-95.6011
relay.smies.me,33.7501,-84.3885
relay.comcomponent.com,34.7062,135.493
strfry.apps3.slidestr.net,40.4167,-3.70329
relay.mmwaves.de,48.8575,2.35138
toby.nettek.io,39.1429,-94.573
x.kojira.io,43.6532,-79.3832
relay.aruku.kro.kr,37.3589,127.115
relay.lumina.rocks,49.0291,8.35695
relay.bitcoinartclock.com,50.4754,12.3683
relay.nostrdice.com,-33.8688,151.209
nostr.thebiglake.org,32.71,-96.6745
librerelay.aaroniumii.com,43.6532,-79.3832
relay.bullishbounty.com,43.6532,-79.3832
schnorr.me,43.6532,-79.3832
relay.xavierdamman.com,49.4543,11.0746
nostriches.club,43.6532,-79.3832
nostr-keex-nuagedepirates.pagekite.me,50.4754,12.3683
relay.olas.app,50.4754,12.3683
relay.angor.io,48.1046,11.6002
relay.evanverma.com,40.8302,-74.1299
nostr.tadryanom.me,43.6532,-79.3832
orly.musiquay.org,43.6532,-79.3832
relay.21e6.cz,50.7383,15.0648
relay.gulugulu.moe,43.6532,-79.3832
strfry.felixzieger.de,50.1013,8.62643
r.bitcoinhold.net,43.6532,-79.3832
relay.erybody.com,41.4513,-81.7021
nostr.nodesmap.com,59.3327,18.0656
relay.plebeian.market,50.1109,8.68213
relay.nostr.net,43.6532,-79.3832
relay.threenine.services,51.5222,-0.62916
relay.arx-ccn.com,50.4754,12.3683
wot.nostr.place,32.7767,-96.797
relay.chakany.systems,43.6532,-79.3832
relay.degmods.com,50.4754,12.3683
relay.edufeed.org,49.4521,11.0767
nostr.carroarmato0.be,51.0368,3.21186
relay.satmaxt.xyz,43.6532,-79.3832
0x-nostr-relay.fly.dev,48.8575,2.35138
top.testrelay.top,43.6532,-79.3832
aaa-api.freefrom.space/v1/ws,43.6532,-79.3832
nostr.ps1829.com,33.8851,130.883
nostr-relay-1.trustlessenterprise.com,43.6532,-79.3832
nostr-relay.zimage.com,34.0549,-118.243
relay-dev.gulugulu.moe,43.6532,-79.3832
wot.nostr.net,43.6532,-79.3832
nostr.dpinkerton.com,39.1008,-94.5811
relay2.ngengine.org,43.6532,-79.3832
